;Quantity 0;Quantity 1;Quantity 2;Quantity 3;Quantity 4;Quantity 5;Quantity 6;Quantity 7;Quantity 8;Quantity 9;Quantity 10;Quantity 11;Quantity 12;Quantity 13;Quantity 14;Quantity 15;Quantity 16;Quantity 17;Quantity 18;Quantity 19;Quantity 20;Quantity 21;Quantity 22;Quantity 23;Quantity 24;Quantity 25;Quantity 26;Quantity 27;Quantity 28;Quantity 29;Quantity 30;Quantity 31;Quantity 32;Quantity 33;Quantity 34;Quantity 35;Cluster
0;2;0;0;0;5;9;6;8;6;2;3;0;0;1;6;4;7;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;2;0;0;3;7;8;8;6;0;1;0;0;8;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;3;1;0;1;6;11;8;5;0;0;0;0;5;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;7;7;1;1;3;9;7;4;0;0;0;1;3;5;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;3;4;0;11;2;11;4;8;3;0;0;0;0;4;5;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;7;6;6;8;10;5;0;0;2;6;8;11;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;5;16;0;1;9;12;6;5;1;2;0;1;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;1;0;0;0;0;6;10;9;10;2;3;0;1;2;3;5;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;15;2;0;0;0;14;10;5;0;0;0;0;0;6;5;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2;0;0;0;0;3;5;10;9;2;5;0;0;2;4;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;3;1;0;4;10;11;7;6;10;3;0;0;1;2;3;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;1;1;0;5;8;2;5;7;5;2;0;0;2;1;2;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;11;4;7;9;8;3;0;0;0;1;2;6;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;3;5;0;11;5;4;5;7;6;0;0;2;5;4;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;1;1;0;2;5;1;1;3;16;3;0;0;0;1;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;3;1;0;2;4;5;5;5;0;7;0;0;1;11;10;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;2;1;0;0;0;9;6;4;6;1;0;0;9;7;8;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;4;0;0;0;0;2;8;4;9;3;3;0;0;2;1;10;6;0;0;3;4;4;3;3;2;3;2;2;0;0;0;0;0;0;0;3;0
18;0;0;0;0;1;3;4;6;7;0;0;0;2;5;3;9;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;4;0;0;13;5;4;0;5;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;6;8;8;0;0;3;9;7;7;3;2;1;2;6;7;8;7;5;4;7;6;6;5;5;2;2;1;2;1;0;0;0;0;0;0;2;0
21;2;3;3;2;0;0;4;5;7;0;6;0;0;4;5;9;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;4;4;4;0;3;5;7;3;11;10;5;0;0;4;4;4;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;2;2;0;2;8;2;3;5;5;5;0;0;0;4;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;3;3;0;3;10;5;4;6;5;2;0;0;1;3;7;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;1;1;1;3;15;13;1;1;0;0;0;0;0;1;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;10;1;1;2;6;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
27;0;0;0;0;16;8;1;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;0;0;0;0;0;0;0;2;1
28;2;3;4;0;20;8;4;3;11;4;2;0;0;0;2;2;1;1;0;3;3;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1
29;0;2;10;0;9;8;4;1;8;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
30;1;5;2;0;9;8;2;1;10;5;2;0;0;2;2;3;10;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1
31;0;0;1;0;7;7;2;3;5;8;14;1;3;2;4;5;3;3;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1
32;0;0;0;0;19;8;1;1;8;3;8;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
33;0;0;0;0;10;4;3;1;12;7;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
34;4;2;8;0;12;8;8;7;7;9;0;0;0;1;2;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
35;0;0;12;0;7;10;7;0;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
36;0;5;11;0;12;6;3;4;7;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
37;0;0;0;0;16;8;0;0;8;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
38;0;1;6;1;10;11;3;1;10;5;1;0;0;3;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
39;0;0;0;0;14;4;2;0;7;7;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
40;0;3;10;2;9;15;1;1;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
41;0;1;1;1;13;12;4;3;4;4;11;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
42;0;4;10;1;19;13;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
43;0;2;4;0;8;9;8;2;4;3;6;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
44;0;0;7;0;10;17;2;2;5;2;1;0;0;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
45;0;0;0;0;11;10;4;0;7;14;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
46;0;4;9;0;14;17;1;2;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
47;0;0;0;0;15;9;0;0;5;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
48;0;2;5;0;11;9;5;1;8;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
49;0;0;0;0;7;2;0;1;13;6;1;0;0;0;4;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
50;0;0;0;0;14;7;2;0;6;15;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
51;0;0;0;0;10;5;2;4;9;7;9;0;0;1;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
52;0;0;0;0;6;11;4;2;7;5;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
53;0;1;1;0;6;9;3;1;8;11;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
54;0;0;0;0;14;4;3;0;3;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
55;1;0;0;0;7;4;2;3;11;8;3;0;0;0;1;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
56;0;7;7;0;11;10;1;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
57;0;0;0;0;13;6;2;2;3;7;3;0;0;0;2;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
58;0;0;1;0;11;5;3;0;10;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
59;0;0;0;0;12;9;1;1;8;10;7;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
60;0;0;0;0;15;4;2;2;9;6;3;0;0;3;6;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
61;0;1;1;0;9;11;6;6;7;7;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
62;0;1;1;1;10;3;3;2;8;4;3;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
63;0;2;6;0;13;11;2;4;13;2;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
64;0;0;0;0;7;1;2;0;7;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
65;0;0;0;0;8;2;1;0;9;11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
66;0;0;0;0;9;1;1;1;6;6;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
67;0;0;0;0;8;2;1;1;11;3;0;0;0;0;3;4;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
68;0;0;0;0;13;5;5;6;6;13;0;0;0;0;8;10;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
69;0;0;0;0;10;4;0;0;9;1;1;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
70;0;0;0;0;12;12;6;9;10;10;9;0;0;0;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
71;0;2;1;0;11;2;1;1;6;3;3;0;0;0;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
72;0;4;7;0;10;6;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
73;0;0;1;5;9;7;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
74;0;0;0;0;13;0;0;0;3;2;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
75;0;0;0;0;15;1;0;0;1;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
76;0;1;3;10;16;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
77;0;0;6;0;10;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
78;0;1;5;0;12;4;1;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
79;0;1;8;0;13;8;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
80;1;2;5;0;5;5;1;2;2;2;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;2
81;0;1;9;0;4;7;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
82;0;0;12;0;9;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
83;0;0;6;0;8;8;2;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
84;0;0;4;0;11;6;1;0;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
85;0;2;7;0;13;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
86;2;3;8;2;16;15;3;4;1;3;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;2
87;1;0;1;0;11;6;2;2;3;0;1;0;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;2
88;0;0;2;0;8;7;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
89;0;0;3;0;7;5;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
90;0;0;0;0;8;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
91;0;0;2;0;9;1;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
92;0;0;0;0;7;7;5;1;4;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
93;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
94;0;0;0;0;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
95;0;0;1;0;9;8;9;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
96;0;0;0;0;10;2;1;3;2;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
97;0;0;0;0;9;9;0;0;7;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
98;0;0;0;0;14;8;0;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
99;0;0;0;0;9;7;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
100;0;0;0;2;12;10;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
101;0;0;0;0;8;7;1;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
102;0;0;0;0;8;3;1;0;3;15;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
103;0;1;6;0;6;3;0;0;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
104;0;0;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
105;0;0;0;0;0;6;2;1;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
106;6;3;4;4;2;7;6;3;1;2;0;0;0;1;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
107;0;0;0;0;5;15;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
108;0;0;0;0;2;8;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
109;0;0;0;0;0;7;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
110;0;0;0;0;0;7;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
111;0;0;0;0;4;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
112;0;0;0;0;3;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
113;0;1;1;1;2;13;5;1;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
114;0;0;0;0;3;11;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
115;0;2;9;0;0;17;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
116;0;2;13;0;0;13;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
117;0;0;11;0;2;8;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
118;0;0;0;0;2;13;1;1;1;5;0;0;0;0;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
119;2;0;0;0;1;9;4;4;3;3;1;1;2;3;2;0;0;0;0;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;3
120;0;1;1;0;0;13;3;1;4;5;0;0;0;0;1;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
121;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
122;0;0;0;0;3;8;2;1;6;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
123;0;0;0;0;3;7;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
124;0;0;0;0;0;8;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
125;1;1;4;0;2;11;1;1;1;3;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;3
126;0;0;0;0;1;9;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
127;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
128;0;0;1;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
129;0;0;0;0;1;11;0;0;4;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
130;0;0;0;0;0;11;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
131;0;0;0;0;0;9;2;2;2;11;0;0;0;0;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
132;0;0;0;0;2;5;0;0;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
133;0;0;0;0;0;8;2;2;2;4;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
134;0;0;0;0;0;2;2;2;3;5;2;0;0;0;3;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
135;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
136;0;0;0;0;0;2;1;1;1;1;1;0;0;0;1;2;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;14;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
138;0;0;0;0;0;0;0;0;2;0;0;0;0;0;5;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
139;4;0;0;0;0;1;5;4;2;0;0;0;0;0;3;3;2;0;1;5;3;4;2;2;2;2;2;0;0;0;0;0;0;0;0;0;4
140;6;3;4;0;0;0;5;3;6;0;0;0;1;3;4;1;1;1;1;6;6;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;4
141;0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
142;0;0;0;0;0;2;2;2;2;2;2;0;2;8;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
143;0;0;0;0;0;2;2;0;4;0;4;0;0;2;2;11;5;1;0;0;0;0;0;0;0;1;3;8;6;6;4;3;0;3;7;2;4
144;4;9;8;2;0;1;7;4;4;0;0;0;0;0;3;2;2;3;2;3;1;1;2;3;1;1;1;1;1;1;1;0;0;0;1;0;4
145;0;0;0;0;0;0;2;2;1;2;1;0;0;0;2;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
146;0;1;0;0;0;0;4;4;5;0;0;0;7;5;9;7;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
147;0;0;0;0;0;4;1;1;5;5;0;0;0;1;1;9;9;0;0;0;0;0;0;0;0;0;5;5;2;0;0;0;0;0;2;2;4
148;0;0;0;0;0;0;10;5;4;0;0;0;0;0;2;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
149;0;0;0;0;0;1;2;2;2;0;0;0;0;0;2;1;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
150;0;0;0;0;7;3;1;2;5;0;0;0;0;0;1;1;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
151;0;0;0;0;0;5;5;4;3;1;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
152;1;0;0;0;0;0;0;1;2;0;0;0;0;0;5;6;10;1;0;1;1;1;1;1;1;2;1;1;1;0;2;0;0;0;1;0;4
153;0;0;0;0;0;0;0;2;3;0;0;0;2;6;6;7;4;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4
154;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;6;7;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
155;0;0;0;0;0;0;0;4;4;0;0;0;0;0;5;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
